Path Length,States Explored,Total Time,Method,Maze File
17,31,0.00012969970703125,astar,./maps_full/p1/p_smallMaze.txt
17,81,0.00022864341735839844,bfs,./maps_full/p1/p_smallMaze.txt
211,548,0.001692056655883789,astar,./maps_full/p1/bigMaze.txt
211,619,0.0014538764953613281,bfs,./maps_full/p1/bigMaze.txt
95,209,0.0006256103515625,astar,./maps_full/p1/p_bigMaze.txt
95,232,0.0005581378936767578,bfs,./maps_full/p1/p_bigMaze.txt
55,517,0.0019474029541015625,astar,./maps_full/p1/openMaze.txt
55,682,0.0019481182098388672,bfs,./maps_full/p1/openMaze.txt
20,53,0.00018787384033203125,astar,./maps_full/p1/smallMaze.txt
20,92,0.00023221969604492188,bfs,./maps_full/p1/smallMaze.txt
69,221,0.0006639957427978516,astar,./maps_full/p1/mediumMaze.txt
69,269,0.0006132125854492188,bfs,./maps_full/p1/mediumMaze.txt
7,7,3.8623809814453125e-05,astar,./maps_full/p1/p_tinyMaze.txt
7,13,4.649162292480469e-05,bfs,./maps_full/p1/p_tinyMaze.txt
33,59,0.00017952919006347656,astar,./maps_full/p1/p_mediumMaze.txt
33,103,0.0002460479736328125,bfs,./maps_full/p1/p_mediumMaze.txt
55,483,0.0018401145935058594,astar,./maps_full/p1/p_openMaze.txt
55,629,0.0017848014831542969,bfs,./maps_full/p1/p_openMaze.txt
9,14,6.008148193359375e-05,astar,./maps_full/p1/tinyMaze.txt
9,15,5.14984130859375e-05,bfs,./maps_full/p1/tinyMaze.txt
112,1533,0.005514621734619141,astar_corner,./maps_full/p2/p_mediumCorners.txt
29,209,0.0008189678192138672,astar_corner,./maps_full/p2/tinyCorners.txt
107,1312,0.0045795440673828125,astar_corner,./maps_full/p2/mediumCorners.txt
163,2074,0.007172584533691406,astar_corner,./maps_full/p2/bigCorners.txt
193,2603,0.009683370590209961,astar_corner,./maps_full/p2/p_bigCorners.txt
27,252,0.0009446144104003906,astar_corner,./maps_full/p2/p_tinyCorners.txt
28,346,0.003561735153198242,astar_multi,./maps_full/p3/tinySearch.txt
28,371,0.00407862663269043,astar_multi,./maps_full/p3/p_tiny.txt
169,5889,0.04363250732421875,astar_multi,./maps_full/p3/mediumSearch.txt
17,288,0.0023190975189208984,astar_multi,./maps_full/p3/p_greedy.txt
75,6080,0.014829635620117188,astar_multi,./maps_full/p3/mediumDottedMaze.txt
17,238,0.0017533302307128906,astar_multi,./maps_full/p3/greedySearch.txt
39,794,0.008063077926635742,astar_multi,./maps_full/p3/p_small.txt
185,10633,0.14250540733337402,astar_multi,./maps_full/p3/p_medium.txt
35,736,0.005613088607788086,astar_multi,./maps_full/p3/smallSearch.txt
79,8268,0.02407670021057129,astar_multi,./maps_full/p3/p_medium_dot.txt
64,100,0.0009620189666748047,fast,./maps_full/p4/oddSearch.txt
585,1860,0.022144079208374023,fast,./maps_full/p4/p_big.txt
197,340,0.0035605430603027344,fast,./maps_full/p4/p_medium_prev.txt
109,225,0.002286672592163086,fast,./maps_full/p4/p_odd.txt
1259,3035,0.19360041618347168,fast,./maps_full/p4/p_open.txt
180,319,0.003368377685546875,fast,./maps_full/p4/mediumSearch_prev.txt
127,431,0.0041463375091552734,fast,./maps_full/p4/openSearch.txt
376,811,0.012079954147338867,fast,./maps_full/p4/bigSearch.txt
